NPV_a,NPV_b,PreyDeficit,PredatorDeficit
0.0,52.6,60.4,36.8
0.0,46.800000000000004,60.4,41.8
33.800000000000004,67.80000000000001,46.800000000000004,6.2
19.6,0.0,51.4,37.0
47.599999999999994,0.0,45.4,19.6
69.6,100.0,1.2,3.2
0.0,11.200000000000001,57.199999999999996,35.0
0.0,0.0,60.4,52.2
43.4,0.0,47.4,19.0
4.6,0.0,54.800000000000004,36.199999999999996
92.2,100.0,0.8,0.0
1.7999999999999998,0.0,54.6,34.599999999999994
5.0,0.0,53.800000000000004,34.0
50.2,77.0,44.6,8.6
0.0,32.800000000000004,60.8,46.400000000000006
3.4000000000000004,0.0,54.6,33.0
21.6,0.0,51.2,33.800000000000004
52.400000000000006,99.6,46.800000000000004,8.0
16.8,0.0,51.4,37.6
0.0,100.0,46.2,8.6
81.39999999999999,69.6,29.599999999999998,2.0
2.6,0.0,53.800000000000004,42.0
56.599999999999994,23.400000000000002,40.8,11.0
89.0,100.0,14.799999999999999,0.2
6.2,56.8,53.2,15.6
59.8,100.0,44.2,6.0
0.0,51.2,59.599999999999994,31.0
0.0,100.0,66.0,10.4
96.0,100.0,5.2,0.0
23.0,0.0,50.8,30.4
62.0,17.2,36.8,8.0
38.4,100.0,50.6,6.6000000000000005
30.0,100.0,51.6,7.8
7.199999999999999,64.4,53.0,12.8
13.4,0.0,51.4,36.199999999999996
64.60000000000001,74.4,39.0,4.8
88.4,100.0,17.2,0.0
33.800000000000004,0.0,49.6,26.400000000000002
60.8,100.0,44.0,0.2
0.0,0.0,62.0,53.2
0.0,48.6,60.199999999999996,40.8
41.6,3.4000000000000004,48.0,15.6
0.0,4.8,62.6,52.400000000000006
0.0,100.0,58.8,14.2
86.2,99.8,22.400000000000002,1.0
19.400000000000002,0.0,51.4,34.4
17.599999999999998,100.0,52.2,9.8
0.0,65.0,60.199999999999996,18.4
58.599999999999994,13.0,45.0,9.4
0.0,0.0,57.199999999999996,43.8
70.0,9.2,39.6,6.800000000000001
74.4,13.200000000000001,34.4,4.8
21.2,0.0,51.0,26.6
0.8,0.0,56.00000000000001,38.4
0.0,0.0,56.8,40.0
0.0,100.0,59.4,13.600000000000001
1.4000000000000001,100.0,56.2,13.0
0.0,0.0,56.99999999999999,39.2
0.0,18.4,60.0,46.2
15.4,0.6,51.800000000000004,28.799999999999997
0.6,0.0,56.39999999999999,44.0
0.0,100.0,66.0,13.600000000000001
0.0,1.0,62.4,52.6
0.0,0.0,59.8,47.0
36.8,65.0,46.2,8.6
2.6,0.0,55.00000000000001,36.4
0.0,100.0,66.2,16.0
0.0,47.599999999999994,60.8,43.8
13.8,0.0,52.0,37.4
93.2,100.0,19.2,0.0
45.800000000000004,100.0,48.0,7.8
48.8,52.2,43.4,7.3999999999999995
0.0,100.0,60.4,14.6
0.0,42.4,60.0,41.6
0.0,0.0,62.0,57.199999999999996
33.800000000000004,100.0,48.8,8.4
70.8,100.0,41.4,0.4
22.6,100.0,51.6,7.199999999999999
0.0,100.0,62.4,10.6
22.0,0.0,51.0,35.199999999999996
16.2,0.0,51.4,34.8
92.0,100.0,20.200000000000003,1.2
0.0,37.6,60.0,44.0
88.0,100.0,17.2,0.4
48.6,100.0,44.800000000000004,1.6
74.6,100.0,33.0,2.4
21.6,0.0,51.4,34.0
94.6,100.0,0.0,0.0
0.8,52.0,57.8,22.6
1.6,0.0,55.800000000000004,40.6
8.4,0.0,52.400000000000006,38.0
0.0,8.200000000000001,59.199999999999996,41.199999999999996
0.0,100.0,59.0,10.6
7.3999999999999995,0.0,54.6,40.0
0.0,100.0,61.0,14.399999999999999
2.6,100.0,56.99999999999999,9.4
87.6,92.80000000000001,24.2,0.4
33.0,0.0,49.2,22.6
0.0,100.0,66.0,13.0
14.6,56.2,53.800000000000004,15.4
0.0,35.0,60.0,41.8
26.200000000000003,0.0,50.0,31.6
15.6,0.0,51.4,34.4
0.0,0.0,62.0,56.39999999999999
17.599999999999998,0.0,51.6,37.6
61.4,100.0,46.2,5.4
0.0,0.0,62.2,54.0
0.0,0.0,57.199999999999996,41.8
64.60000000000001,0.4,41.8,8.6
7.8,9.0,52.800000000000004,25.2
84.2,100.0,28.199999999999996,1.4000000000000001
66.0,0.4,42.0,8.6
48.199999999999996,0.0,47.599999999999994,15.4
40.400000000000006,100.0,49.8,8.6
12.8,0.0,52.0,39.2
18.6,0.0,51.4,37.6
19.400000000000002,0.0,51.2,32.0
3.4000000000000004,0.0,54.800000000000004,39.0
0.0,51.0,60.4,35.4
29.4,0.0,50.6,30.2
14.799999999999999,100.0,53.0,9.6
36.0,0.0,48.6,21.2
23.200000000000003,0.0,51.2,32.800000000000004
0.0,0.0,62.2,57.4
0.0,100.0,63.0,10.6
0.0,0.0,58.8,49.4
2.0,61.0,54.800000000000004,15.6
95.6,100.0,3.5999999999999996,0.0
0.0,58.4,65.60000000000001,32.2
0.0,0.0,58.4,46.400000000000006
10.2,0.0,52.400000000000006,34.2
53.400000000000006,54.800000000000004,43.8,10.2
52.0,100.0,48.0,6.6000000000000005
40.400000000000006,0.2,49.0,17.8
1.0,0.0,56.00000000000001,44.0
32.2,0.0,49.8,27.200000000000003
10.0,0.0,52.400000000000006,36.0
53.800000000000004,65.0,42.4,8.4
3.4000000000000004,51.800000000000004,54.6,21.8
0.0,19.8,60.199999999999996,46.400000000000006
71.2,14.799999999999999,42.6,7.3999999999999995
0.8,0.0,56.39999999999999,45.0
93.4,100.0,4.8,0.0
12.0,0.0,53.6,39.2
50.6,0.0,45.4,16.0
23.0,0.0,50.8,34.2
28.199999999999996,20.200000000000003,47.4,11.799999999999999
0.0,0.0,58.4,47.0
0.0,3.0,59.199999999999996,43.4
6.2,0.0,52.400000000000006,29.2
0.0,53.6,65.0,44.6
0.0,45.800000000000004,62.0,45.6
