vars,NPV_a,NPV_b,PreyDeficit,PredatorDeficit
"[0.29358283595146695, 0.0037830201159632093, 0.4453556149333314, 0.2925697338438421, 0.9782583003467737, 0.5839633822419391, 0.5569959869599865, 0.25272280069299946, 0.7986181406077666, 0.6611999100197343, 0.5932967224437382, 0.9014788963903816, 0.9146602266423955, 0.19852068642707832, 0.38276567057278355, 0.028999194531813655, 0.0371835616804832, 0.25969385291804925, 0.28378647508328436, 0.6361390230602064]",4466.717557241323,43.54991367673662,0.37967354737291453,0.4429494604063144
"[0.8834171516257783, 0.8768283391568601, 0.9457190283918583, 0.6512790192639658, 0.1397337496769151, 0.6199583806482116, 0.53519278667582, 0.7044525686592465, 0.5692053754784225, 0.10519538113291149, 0.6600191681867391, 0.5762522205271172, 0.6860609253493413, 0.6515447934327201, 0.6712330585942987, 0.2331115805009829, 0.9724008910877406, 0.4330488477269405, 0.003965916923374779, 0.33265037020373067]",1989.3960722216493,197.49213982133668,0.1514337813657375,0.5751093294577023
"[0.8293473891410476, 0.19742497530352177, 0.7919312180705633, 0.6848648092947711, 0.35391774800122344, 0.5667940580373874, 0.9265606539003767, 0.8550972684346898, 0.4418926583999796, 0.5638227461723427, 0.937030948414529, 0.17061895032542973, 0.5834870023983235, 0.6818222849113889, 0.4286526798658734, 0.19021109857753404, 0.036028676840245355, 0.7507415060784485, 0.15949962413073837, 0.7022603806086888]",374.69642829981586,1.252108193086229e-10,0.06842619059755875,0.045649464271668175
"[0.050841707428318506, 0.6111332510902071, 0.4652423651272629, 0.8765830253185602, 0.12826365231647308, 0.06014710098330245, 0.5917677694158915, 0.2615051677006449, 0.12169581605243274, 0.6587216645307534, 0.23143454906189265, 0.963021026435396, 0.6197593775839123, 0.9695637635796129, 0.5890769064411303, 0.2969915237510753, 0.6304361807066237, 0.646837257438863, 0.4995595887930344, 0.37489511079277504]",3947.204468114915,321.20185305097095,0.27552312361007614,0.9235465522304276
"[0.8792948936418487, 0.6377110335081451, 0.17351576940870672, 0.333911690406146, 0.1517380087907988, 0.17448627242023507, 0.47525328523233146, 0.9304775391322632, 0.7108599718946976, 0.4848584846137307, 0.9790534887828262, 0.9129736485206355, 0.09174739099548057, 0.04100977748410539, 0.867911679041375, 0.4396644931605481, 0.5167483046884596, 0.07163691413826445, 0.6030123266590405, 0.06557425368481729]",4542.131874149609,129.63495112262046,0.3796573090229188,0.635600801176899
"[0.29403595813306294, 0.7217098895570827, 0.43150671038550814, 0.8711294495425843, 0.29900627215353126, 0.7151348382168975, 0.4809993456665971, 0.7428847303966593, 0.3496881528224557, 0.5473000487245014, 0.21834566437319858, 0.10063053859664961, 0.8016742800637481, 0.7149616251558963, 0.872911699202304, 0.7634668174289723, 0.5548499072778936, 0.815538265809723, 0.8481266066229771, 0.7155543724416905]",5258.449690659993,202.59063491542773,0.5330263869657073,0.8297321874365645
"[0.6216056550856458, 0.052641655926447095, 0.6753941492874403, 0.15433243806286134, 0.41677952626857895, 0.9861930397595735, 0.7542895052303821, 0.29660135359716744, 0.8987054344124802, 0.2322287497637362, 0.9886896231551172, 0.8680927863684117, 0.3944373278476918, 0.6960169020558101, 0.7663250303980997, 0.29748048162077123, 0.5408357562438942, 0.12940457084839074, 0.05222636365464384, 0.45768245934007346]",2340.4126695181926,274.00989450414386,0.16943669449049445,0.7388065350308176
"[0.5974757589852818, 0.5730291031333277, 0.999065233078338, 0.9003278710557807, 0.8966157179266951, 0.16252431325053984, 0.8733124951874613, 0.36261737585925313, 0.04273511570345301, 0.08769477694030436, 0.9082179737580712, 0.2034164005398571, 0.4050827825549399, 0.4443865333098408, 0.8652829186207521, 0.7685833515312336, 0.6040013958137839, 0.16719708440427217, 0.9746723263881918, 0.16339458168910836]",3542.3684520065162,127.50789155116323,0.27171217580678586,0.5426672825144753
"[0.544138800515315, 0.8999809130236287, 0.7545605345321236, 0.7623302816459283, 0.7528300896885274, 0.6616461287397671, 0.19947632694518935, 0.7067335982256875, 0.15552988931778433, 0.0833601121567491, 0.5077291859197129, 0.9081580697650755, 0.8147696499291047, 0.11273485338801603, 0.438719926143047, 0.2699091995273679, 0.7072539071978429, 0.49092963078040164, 0.23390444867928484, 0.9451146966416728]",5181.374665745682,23.42934848081601,0.5559609808458604,0.6184868169726639
"[0.8936459303436769, 0.18749081126355738, 0.753463098757791, 0.6958604210233281, 0.2088632322498678, 0.8878794357943491, 0.9604938170703105, 0.653528294351702, 0.6878787942903447, 0.40701864001248667, 0.9652073574716102, 0.5135152403540365, 0.6930255999676046, 0.44663339680353, 0.20058911794734435, 0.22976652632701877, 0.10047691530215141, 0.49211935701749654, 0.17657430308001865, 0.5601792383960961]",3804.764380663031,5.336517664775655,0.30562707573010406,0.33724983417048815
