vars,NPV_a,NPV_b,PreyDeficit,PredatorDeficit
"[0.9373040714164601, 0.9548039428391758, 0.9606547513699271, 0.845331163421149, 0.5629412113090184, 0.8752566792274274, 0.7007993380984398, 0.7225973628828687, 0.9726056516673781, 0.9337169486418395, 0.9265326040643617, 0.12115242780970281]",2270.4956890665494,292.9560357792436,0.15823350010357987,0.6680680952700543
"[0.6708567367827797, 0.5339207968600486, 0.621752044308812, 0.7461710209801872, 0.19019857329627243, 0.6686792541116177, 0.7572657273424447, 0.23934353113034934, 0.6280160967900459, 0.9786442490154067, 0.7059853512403773, 0.10011312546820972]",3667.5433647229975,85.36844262848179,0.2655468287982127,0.44591062665040765
"[0.5717411941212915, 0.6778460205427764, 0.4710887080364947, 0.9113804211408164, 0.952428559762936, 0.6404033621461884, 0.73049121266114, 0.2599733175617477, 0.17234450086853859, 0.013096515157556499, 0.27485618831144987, 0.799073315963889]",2747.4869761161917,276.18896941502203,0.25764388867393834,0.7070266674651039
"[0.9198094259117656, 0.6911169463996611, 0.779457346719084, 0.09068315797038151, 0.9725715733096162, 0.027987043181467275, 0.6892307542827016, 0.0641676766603293, 0.8071225081964828, 0.05740640446019252, 0.3026635317932699, 0.2405725643609744]",2804.191553307127,191.87893085092685,0.19124536792808988,0.5362005376138712
"[0.34520977337228076, 0.21693210578999766, 0.23148911414419826, 0.9295363346957368, 0.3468774526622097, 0.07205599856577671, 0.14605685543533664, 0.20778157711199075, 0.1849307979357473, 0.7285117464697329, 0.44008317501097216, 0.4017873555422198]",1643.0384251379626,264.1484508220364,0.09858342907720065,0.5664033940946525
"[0.0037454700693577703, 0.7822675960065265, 0.38112996013894784, 0.9606030911701426, 0.7996785191429799, 0.7370025512423246, 0.16970358130896068, 0.8839278773225369, 0.7200609660614495, 0.5409148794040458, 0.5721453270818947, 0.3556585166295281]",2414.8881124828085,309.3262770319006,0.19914881186880207,0.7467026783876705
"[0.5966150067623267, 0.5126174223539928, 0.2920905148400067, 0.8862363469695104, 0.5019018076596431, 0.16501296454148273, 0.04910635280599429, 0.519813297492311, 0.19079694793549717, 0.7649387086775999, 0.4432808129027944, 0.3052405895409528]",2167.9895883881054,277.6586707819572,0.14442184097676464,0.6296001408225246
"[0.7533372770542919, 0.6598565115355803, 0.3876179339389917, 0.7549848847933863, 0.7894138376779811, 0.4880306466586304, 0.09925838550482635, 0.964152345992529, 0.46472816566554054, 0.5926831856282476, 0.22663837699218203, 0.7987627674976037]",2748.938857501951,266.3551136419621,0.2383448298350525,0.6703834709494806
"[0.8066758598051957, 0.36593972629453075, 0.48067599147340423, 0.7910875818875942, 0.9956969675395589, 0.1827564368266097, 0.5845334812833501, 0.23775970993448603, 0.6761359969994838, 0.6481738502100798, 0.21317130272949425, 0.34216043852117606]",4257.766036212471,49.07443086392013,0.3228429529170879,0.44236338231543343
"[0.8246820692205058, 0.24715253038165597, 0.8746175905888042, 0.5184256949040578, 0.9128855020970408, 0.7054103909005087, 0.10285082542538149, 0.4856344622254196, 0.6992521765736529, 0.6411027629534882, 0.33997795874387127, 0.13220963097366079]",1902.3689584327292,318.451671021474,0.14386631252325127,0.719170919784793
"[1.0, 0.11001439705827498, 1.0, 1.0, 0.6290399749652953, 0.3818506920505487, 0.0, 0.5828029637768586, 0.5970066137395074, 0.7331686849809805, 0.23879735173723626, 0.9263051976219687]",236.88921646569779,295.7619881551361,0.04670741777800169,0.5880694320475819
"[0.5343415976441969, 0.5778001637178573, 0.2093936757866356, 0.6219195224644115, 0.3293037895141133, 0.9571268655456024, 0.8801348954400947, 0.3834890888714212, 0.9465358304363265, 0.7571670134208506, 0.16245305209017602, 0.94768241434997]",4303.768050767006,30.492670247538673,0.3432024703823363,0.4246195097335184
"[0.38518218262118586, 0.1756168453490128, 0.5123858634279871, 0.9984995921833073, 0.0, 0.7616275490091517, 1.0, 0.38642650893409397, 0.7992282621616701, 0.3317401380353759, 0.9826534719123285, 0.36388179422735434]",45.01633675667901,279.22526303977037,0.03985279098084902,0.5477110900849707
"[0.9533522030637099, 0.7058244843386788, 0.7362847250058085, 0.058913079942721075, 1.0, 0.0, 0.7194487591637149, 0.04181278359239979, 0.8374992819810085, 0.021040165226244106, 0.3029367630066572, 0.2323688555116633]",2606.4422662208526,200.71707065434518,0.16815590166678193,0.5299982355696647
"[0.8118105309763364, 0.454373086083011, 0.5571147418484, 0.8741253052567982, 0.03410483987797536, 0.8095774769190801, 0.7327762376860847, 0.11072789955052133, 0.744233174143457, 1.0, 0.6435808414054075, 0.1382214019616447]",695.4387256903484,63.51865230680077,0.0835627800921536,0.22314563358085887
"[0.3881783358898726, 0.5694470425712335, 0.35169521148744726, 0.9456769441256918, 0.19008253097870376, 0.9008135356073823, 0.9504661024733463, 0.39753042954168705, 0.7330100860346966, 0.9732506287918901, 0.9178150282381909, 0.0003361358880067944]",4375.469048255064,41.89748427179155,0.34253940353523676,0.4460340765815062
