vars,NPV_a,NPV_b,PreyDeficit,PredatorDeficit
"[0.3587527247339597, 0.10946003924966197, 0.43055578689703, 0.6770231645658752, 0.37091595160299584, 0.7112360067868538, 0.3498058807012321, 0.15315133740087095, 0.9812995181503157, 0.43520823566929046, 0.4677037139024962, 0.7685216369189054]",1027.4412254089377,320.4506311384259,0.08594755206224688,0.7704303707582232
"[0.6409048745339458, 0.3284645069401618, 0.962005348432593, 0.7697782015147996, 0.44714860359678354, 0.2915255864340317, 0.33851349749499826, 0.37124034475284784, 0.12271170250563501, 0.8685681019356547, 0.14110952821124856, 0.8135596802605167]",1437.5168636906799,178.0113844202009,0.1210224959138106,0.5026319759479955
"[0.37447916111407786, 0.04411708863234154, 0.6192843039579723, 0.7148241029994221, 0.585294473446258, 0.1286732097929224, 0.4823235707593504, 0.03636421144729851, 0.3402852942881903, 0.10830756838375588, 0.10684731973733141, 0.623469511385426]",1594.66675906609,342.911606161462,0.11456094497050569,0.8328082467918121
"[0.01744134798784258, 0.21209049860721363, 0.2180815880170931, 0.5690356039369802, 0.20901490018284852, 0.953443390623605, 0.2695929125168024, 0.8072230237470788, 0.6811036033872576, 0.3136066075315972, 0.3740436051835131, 0.4086363567997938]",4431.729913948094,312.7483856748584,0.32778859816244904,0.9557523477091511
"[0.04344001479837023, 0.2741441192127473, 0.05761299632537453, 0.39162481592680964, 0.028195904195106203, 0.260376049214296, 0.22712452690359153, 0.8446088813715679, 0.26082295912028997, 0.5079298165648035, 0.0258263072754088, 0.8937352546914648]",4487.678357258994,269.7398827245136,0.3559055994546443,0.852734273073795
"[0.7456212628114495, 0.07518594186448732, 0.6661575451055598, 0.7707991484094252, 0.6236406474676373, 0.5124443139197905, 0.07431692712331209, 0.6726889445849864, 0.0985084202859181, 0.446418627966291, 0.39858321301821664, 0.13743091436505547]",3907.3107460448045,324.1271770476807,0.27866758026940874,0.9396966347933854
"[0.4911237661531981, 0.22868688802176662, 0.890771167005976, 0.2154768977396806, 0.611042683704563, 0.13147832981496876, 0.42728119148961086, 0.14483222287538952, 0.13389082022853394, 0.08158615431118266, 0.36811993957473305, 0.4892188661567052]",4783.678997617213,306.40358180152055,0.3679965212236345,0.9573559322623376
"[0.6409048745339458, 0.3284645069401618, 0.9788997571477952, 0.7697782015147996, 0.5353012992484019, 0.34104026237902996, 0.33851349749499826, 0.5515102120366201, 0.12393281684009515, 0.8685681019356547, 0.14110952821124856, 0.8135596802605167]",2523.388888975167,219.6612758223478,0.18841606313934836,0.6483702972025751
"[0.98588397432554, 0.3079158200572458, 0.840664213953165, 0.10237021317578854, 0.7513159427208109, 0.2893586890750677, 0.377583902171585, 0.3698074885457887, 0.36770076917700695, 0.9191139041119899, 0.7817226297538452, 0.40724566764811976]",5298.355147132177,266.70951336666917,0.5132736204140197,0.9176115236171493
"[0.936973739446304, 0.34166175459307224, 0.8339095979781432, 0.22049875148027526, 0.6799401476776974, 0.30178105090934804, 0.4743160526756879, 0.3480407207636048, 0.3380437446872198, 0.7854675145563188, 0.8038040406681941, 0.5178978892232887]",5318.267401712006,262.55185102455175,0.5255256759131309,0.9177132813055163
"[0.447784769428201, 0.04562563380121276, 0.782865296534047, 0.16557871524362622, 0.27295806232709674, 0.2806988975412348, 0.18215710889388648, 0.015136078331778102, 0.8921344804759055, 0.5564375215168954, 0.291964088357833, 0.4788823386371627]",5097.515329729507,27.9498245565149,0.5278981471464276,0.5964988248895162
"[0.03927824638791666, 0.20484573307445433, 0.21222969454621504, 0.5561440707157871, 0.21782208746088466, 0.9612719341038418, 0.26028961223642283, 0.8158401162205249, 0.6855419332805087, 0.3137033764019096, 0.3768144933281759, 0.36800259520036205]",4591.768596482496,309.4407716729296,0.34742337328258166,0.9576164286415393
