vars,a,b,c,d,h,K,m,sigmaX,NPV_a,NPV_b,PreyDeficit,PredatorDeficit
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.03803355297850253,0.2689814558998567,0.4239143595136471,0.1134831867308146,0.733047021170264,3943.763156540725,0.10834980949742168,0.002657893684136243,1955.9528844345505,564.3221309261983,0.9557381177422096,0.8228950046948401
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.03645933734987369,0.6616501763284349,0.42977720849960854,0.12351533700737648,0.5637737885552581,2936.2188206475075,1.4077603356305302,0.008191207870267947,1408.217159834486,186.3350545843073,0.01825842002446321,0.7703634432704972
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.002596368614634575,0.2660727668580912,0.9760955746411679,0.1923588886645956,0.5906711116191825,3102.33880413375,1.4134833906479973,0.007881717454360662,1494.3724534586818,155.55455255622013,0.029445116851389314,0.9353237617466456
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.02351050670244751,0.3542279524366561,0.8366201382859388,0.05504979215751557,0.10617532068509802,2073.4639454734115,1.142563804080767,0.006420963287984373,2199.81942297097,414.58304148981836,0.20501870578548434,0.6737994666866378
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.0051251533286602044,0.5475925868223288,0.7315725644778142,0.16713994663157725,0.6736244127870861,2765.0682591894347,1.3833882977690508,0.0063228570238716185,1331.4278758563212,165.12739205226572,0.015067911649609493,0.917175715380073
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.024605039756906658,0.3077978171606637,0.7068109166144505,0.12050803749807414,0.359598752537262,1868.7322669205814,1.4976204934429185,0.00372706177094857,897.3302998522319,183.5264733533604,0.03662516326494512,0.8357122910037419
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.020441422265132334,0.13923701892309873,0.7504107558165221,0.09525162457077488,0.8676583170978458,1966.056825896859,0.7852020707679365,0.005698121803087264,1511.8561761443768,514.8258128959136,0.5639506654165289,0.5239450196924241
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.027675312230511548,0.8272714709328073,0.32575100137895807,0.059272058043196865,0.3617903324069575,2205.1523167446144,0.6086121041685645,0.003855209439167108,3520.705988704736,1062.8775853767302,0.25156867391112403,0.5139063512746483
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.005102072048144191,0.9500916143014553,0.7475238813029879,0.1023886602528486,0.6123652899911843,3879.851900302973,1.4004485800127484,0.00834252828615957,1865.8310010327195,189.20221634111883,0.009715825665703105,0.8617739159263463
"[0.6314690610048542, 0.2440706858259104, 0.509203414441892, 0.0, 0.4035862871358682, 0.23023882485989133, 0.8480391195824282, 0.7736695219030195, 0.3059500662313822, 0.0861925356012565, 0.33661384815353634, 0.9418534259574572]",0.008824750738258757,0.5553863641715895,0.39938445025970504,0.17340979810461093,0.2833922745947322,3293.7743693291154,0.5842277880781678,0.003425054024564358,4365.488321235925,671.7392401487476,0.22415261168593542,0.642936162151233
