NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
0.2,0.0,56.599999999999994,44.6,0.2,0.0,0.0,0.0
38.0,49.8,48.0,9.8,20.599999999999998,9.8,19.400000000000002,0.0
0.0,100.0,66.4,10.4,0.0,10.4,0.0,0.0
2.8000000000000003,0.0,54.800000000000004,40.8,2.8000000000000003,0.0,0.0,0.0
62.2,100.0,46.800000000000004,2.0,26.8,2.0,62.2,0.0
0.2,0.0,56.8,45.0,0.2,0.0,0.0,0.0
0.8,56.39999999999999,56.8,17.2,0.8,17.2,0.8,0.8
87.0,100.0,31.0,0.0,30.4,0.0,87.0,0.0
91.2,100.0,6.4,0.0,6.4,0.0,91.2,0.0
0.0,64.8,61.0,19.400000000000002,0.0,19.400000000000002,0.0,0.0
83.6,100.0,29.4,0.2,25.6,0.2,83.6,0.0
30.599999999999998,65.60000000000001,49.6,9.8,16.400000000000002,9.8,21.6,0.0
0.0,0.0,59.8,48.6,0.0,0.0,0.0,0.0
2.1999999999999997,45.2,53.6,24.2,1.0,24.0,1.6,0.0
0.4,0.0,56.2,40.6,0.4,0.0,0.0,0.0
0.0,55.00000000000001,58.8,21.4,0.0,21.4,0.0,0.0
73.0,100.0,0.8,2.4,0.6,2.4,73.0,0.0
3.2,100.0,56.00000000000001,8.799999999999999,0.0,8.799999999999999,3.2,0.0
0.8,0.0,55.800000000000004,40.2,0.8,0.0,0.0,0.0
0.0,99.2,62.2,17.599999999999998,0.0,17.599999999999998,0.0,0.0
0.0,0.0,59.599999999999994,51.2,0.0,0.0,0.0,0.0
32.4,0.0,50.6,28.599999999999998,25.8,0.0,0.0,0.0
68.2,100.0,39.6,3.5999999999999996,32.6,3.5999999999999996,68.2,0.0
72.8,9.0,32.2,9.6,30.0,0.0,3.2,0.0
0.0,53.6,59.8,26.6,0.0,26.6,0.0,0.0
