NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
73.4,100.0,25.8,4.0,23.799999999999997,4.0,73.4,0.0
20.200000000000003,0.0,51.800000000000004,37.0,18.2,0.0,0.0,0.0
41.4,0.0,48.199999999999996,19.2,26.400000000000002,0.0,0.0,0.0
0.0,12.4,62.6,48.8,0.0,12.4,0.0,0.0
32.0,100.0,49.0,4.2,5.800000000000001,4.2,32.0,0.0
74.0,15.6,13.200000000000001,10.8,10.6,1.2,7.199999999999999,0.0
16.2,68.4,52.400000000000006,13.8,8.799999999999999,13.8,16.0,0.0
71.39999999999999,100.0,42.0,0.8,28.799999999999997,0.8,71.39999999999999,0.0
35.4,67.4,45.800000000000004,11.0,16.0,11.0,30.4,0.0
0.0,59.8,61.8,24.6,0.0,24.6,0.0,0.0
0.0,100.0,61.199999999999996,14.799999999999999,0.0,14.799999999999999,0.0,0.0
22.6,0.0,51.0,35.199999999999996,19.2,0.0,0.0,0.0
0.0,59.199999999999996,64.0,28.599999999999998,0.0,28.599999999999998,0.0,0.0
52.800000000000004,0.0,41.6,15.0,29.4,0.0,0.0,0.0
0.4,100.0,59.4,13.200000000000001,0.0,13.200000000000001,0.4,0.0
93.4,100.0,2.4,0.0,2.4,0.0,93.4,0.0
0.0,0.0,63.6,60.6,0.0,0.0,0.0,0.0
0.0,0.0,63.800000000000004,60.4,0.0,0.0,0.0,0.0
89.4,100.0,22.8,1.2,21.6,1.2,89.4,0.0
88.8,93.4,6.2,3.2,6.2,3.2,83.39999999999999,0.0
79.0,100.0,31.8,1.4000000000000001,27.800000000000004,1.4000000000000001,79.0,0.0
0.0,100.0,61.6,11.0,0.0,11.0,0.0,0.0
89.0,100.0,20.8,0.0,19.0,0.0,89.0,0.0
47.0,0.0,44.800000000000004,22.400000000000002,28.599999999999998,0.0,0.0,0.0
96.39999999999999,100.0,4.2,0.0,4.2,0.0,96.39999999999999,0.0
0.0,100.0,62.6,13.200000000000001,0.0,13.200000000000001,0.0,0.0
59.0,100.0,40.0,5.2,24.8,5.2,59.0,0.0
70.0,100.0,34.4,0.8,17.4,0.8,70.0,0.0
68.60000000000001,100.0,41.4,2.6,30.8,2.6,68.60000000000001,0.0
0.2,0.0,59.199999999999996,43.0,0.2,0.0,0.0,0.0
87.4,95.39999999999999,13.600000000000001,0.8,13.600000000000001,0.8,82.8,0.0
63.6,8.6,34.0,13.0,28.000000000000004,1.0,2.8000000000000003,0.0
44.6,65.4,46.0,7.8,20.8,7.8,32.2,0.0
0.0,56.8,62.0,25.0,0.0,25.0,0.0,0.0
15.2,11.799999999999999,52.400000000000006,24.0,12.2,7.199999999999999,0.0,0.0
25.2,1.6,51.6,23.200000000000003,20.8,1.0,0.0,0.0
68.60000000000001,100.0,44.6,0.6,26.6,0.6,68.60000000000001,0.0
9.4,71.6,54.6,15.4,5.0,15.4,9.4,0.0
0.0,11.200000000000001,63.4,52.2,0.0,11.200000000000001,0.0,0.0
82.39999999999999,100.0,28.4,0.8,26.0,0.8,82.39999999999999,0.0
0.0,0.0,62.6,53.800000000000004,0.0,0.0,0.0,0.0
14.2,0.0,53.0,37.8,13.200000000000001,0.0,0.0,0.0
48.8,65.60000000000001,44.4,8.799999999999999,24.4,8.799999999999999,33.2,0.0
0.0,16.2,62.6,49.6,0.0,16.2,0.0,0.0
90.4,100.0,20.200000000000003,0.8,20.0,0.8,90.4,0.0
2.0,100.0,58.599999999999994,11.799999999999999,1.0,11.799999999999999,2.0,0.0
0.0,0.0,60.199999999999996,48.6,0.0,0.0,0.0,0.0
91.8,100.0,16.6,0.0,16.400000000000002,0.0,91.8,0.0
7.199999999999999,100.0,58.599999999999994,10.6,1.2,10.6,7.199999999999999,0.0
50.8,97.2,46.6,7.199999999999999,27.0,7.199999999999999,48.8,0.0
57.199999999999996,10.6,41.0,13.8,30.0,2.0,4.3999999999999995,0.0
0.0,47.8,63.2,44.0,0.0,41.4,0.0,0.0
66.8,2.0,38.0,8.799999999999999,30.0,0.0,1.7999999999999998,0.0
17.4,100.0,55.2,7.6,6.4,7.6,17.4,0.0
0.0,0.0,64.0,60.6,0.0,0.0,0.0,0.0
78.60000000000001,100.0,24.2,1.0,18.2,1.0,78.60000000000001,0.0
52.400000000000006,83.6,45.800000000000004,9.8,27.400000000000002,9.8,42.0,0.0
21.4,0.0,52.0,35.6,18.8,0.0,0.0,0.0
85.39999999999999,100.0,28.199999999999996,0.0,23.799999999999997,0.0,85.39999999999999,0.0
0.2,100.0,60.8,13.8,0.2,13.8,0.2,0.0
48.0,100.0,44.6,5.6000000000000005,16.8,5.6000000000000005,48.0,0.0
81.2,100.0,16.400000000000002,0.8,16.2,0.8,81.2,0.0
42.6,0.4,47.8,18.2,27.0,0.0,0.0,0.0
1.4000000000000001,50.8,59.599999999999994,24.6,1.4000000000000001,24.6,1.4000000000000001,0.2
12.0,58.599999999999994,54.0,16.0,7.3999999999999995,16.0,8.799999999999999,0.0
53.0,100.0,47.0,3.5999999999999996,21.0,3.5999999999999996,53.0,0.0
56.599999999999994,100.0,43.8,4.6,25.6,4.6,56.599999999999994,0.0
0.0,100.0,63.800000000000004,16.0,0.0,16.0,0.0,0.0
51.6,100.0,45.4,3.0,19.0,3.0,51.6,0.0
0.0,100.0,64.60000000000001,15.4,0.0,15.4,0.0,0.0
3.0,72.39999999999999,58.199999999999996,17.2,1.4000000000000001,17.2,3.0,0.0
22.6,39.2,51.2,17.599999999999998,15.8,17.0,6.2,0.0
45.4,37.8,47.0,14.6,28.199999999999996,13.600000000000001,9.0,0.0
68.4,19.0,41.0,8.6,29.799999999999997,1.0,11.200000000000001,0.0
25.4,100.0,51.2,9.2,10.2,9.2,25.4,0.0
60.0,83.2,40.8,8.6,28.599999999999998,8.6,47.199999999999996,0.0
80.2,100.0,26.0,1.2,24.0,1.2,80.2,0.0
28.599999999999998,0.0,50.4,28.799999999999997,22.0,0.0,0.0,0.0
0.0,0.0,61.6,51.800000000000004,0.0,0.0,0.0,0.0
89.2,100.0,16.6,1.4000000000000001,16.400000000000002,1.4000000000000001,89.2,0.0
3.4000000000000004,100.0,58.8,10.6,0.8,10.6,3.4000000000000004,0.0
0.8,0.0,59.199999999999996,38.6,0.8,0.0,0.0,0.0
28.199999999999996,0.0,49.8,34.2,22.2,0.0,0.0,0.0
15.4,100.0,56.2,8.6,2.1999999999999997,8.6,15.4,0.0
0.0,100.0,64.4,16.400000000000002,0.0,16.400000000000002,0.0,0.0
60.199999999999996,66.8,36.6,7.000000000000001,25.4,7.000000000000001,39.6,0.0
24.2,0.0,51.4,31.2,20.8,0.0,0.0,0.0
0.0,100.0,67.60000000000001,10.8,0.0,10.8,0.0,0.0
6.0,35.0,54.400000000000006,25.2,5.4,22.2,0.8,0.4
1.6,0.0,57.599999999999994,36.4,1.6,0.0,0.0,0.0
87.4,97.8,19.0,1.0,18.8,1.0,85.2,0.0
44.2,100.0,44.0,2.8000000000000003,12.2,2.8000000000000003,44.2,0.0
42.4,0.0,48.6,23.0,28.599999999999998,0.0,0.0,0.0
0.0,100.0,64.0,15.8,0.0,15.8,0.0,0.0
10.2,0.2,53.0,30.2,8.799999999999999,0.2,0.0,0.0
87.4,100.0,21.6,0.0,18.4,0.0,87.4,0.0
82.0,23.0,30.8,3.8,27.400000000000002,1.6,16.2,0.0
13.8,0.0,53.2,37.6,12.6,0.0,0.0,0.0
53.800000000000004,100.0,38.4,11.0,26.200000000000003,11.0,53.800000000000004,0.0
0.0,0.0,60.6,48.0,0.0,0.0,0.0,0.0
61.0,99.6,40.6,6.2,28.000000000000004,6.2,61.0,0.0
0.0,100.0,63.0,15.6,0.0,15.6,0.0,0.0
0.2,100.0,60.4,10.4,0.0,10.4,0.2,0.0
0.0,100.0,61.6,16.6,0.0,16.6,0.0,0.0
30.0,0.0,49.8,28.999999999999996,22.6,0.0,0.0,0.0
83.39999999999999,73.8,22.2,1.2,21.0,1.2,58.199999999999996,0.0
65.2,100.0,30.4,0.4,10.0,0.4,65.2,0.0
4.2,100.0,59.199999999999996,12.0,1.0,12.0,4.2,0.0
0.0,38.4,63.2,48.199999999999996,0.0,36.4,0.0,0.0
0.0,52.0,61.199999999999996,31.0,0.0,31.0,0.0,0.0
26.8,100.0,52.0,5.0,2.8000000000000003,5.0,26.8,0.0
0.0,100.0,67.0,14.2,0.0,14.2,0.0,0.0
2.1999999999999997,0.0,56.2,35.0,2.1999999999999997,0.0,0.0,0.0
0.0,100.0,66.60000000000001,17.8,0.0,17.8,0.0,0.0
23.400000000000002,0.0,51.0,30.4,20.0,0.0,0.0,0.0
63.4,0.0,40.0,13.200000000000001,30.0,0.0,0.0,0.0
1.6,0.0,57.99999999999999,45.0,1.6,0.0,0.0,0.0
80.4,100.0,36.199999999999996,0.2,30.0,0.2,80.4,0.0
48.8,0.0,44.4,19.6,28.799999999999997,0.0,0.0,0.0
68.4,78.8,37.2,5.4,30.599999999999998,5.4,49.2,0.0
72.2,100.0,23.599999999999998,0.2,6.4,0.2,72.2,0.0
67.0,99.0,38.800000000000004,5.4,30.8,5.4,66.0,0.0
71.8,100.0,40.0,2.1999999999999997,29.599999999999998,2.1999999999999997,71.8,0.0
91.2,100.0,7.8,0.0,7.8,0.0,91.2,0.0
34.4,0.2,49.2,25.0,24.8,0.2,0.0,0.0
67.0,100.0,39.4,5.4,31.2,5.4,67.0,0.0
0.0,49.8,65.2,46.800000000000004,0.0,44.0,0.0,0.0
11.4,100.0,56.00000000000001,9.8,2.4,9.8,11.4,0.0
21.8,0.0,51.6,36.0,19.2,0.0,0.0,0.0
26.0,69.8,50.4,11.4,12.8,11.4,25.8,0.0
22.8,0.0,51.0,34.8,19.400000000000002,0.0,0.0,0.0
1.0,0.0,58.199999999999996,41.4,1.0,0.0,0.0,0.0
0.0,100.0,64.4,13.200000000000001,0.0,13.200000000000001,0.0,0.0
0.0,0.0,63.6,60.199999999999996,0.0,0.0,0.0,0.0
79.80000000000001,89.60000000000001,25.6,2.0,23.599999999999998,2.0,69.6,0.0
9.4,100.0,56.2,9.8,1.6,9.8,9.4,0.0
0.0,67.2,66.4,22.8,0.0,22.8,0.0,0.0
0.2,100.0,60.4,13.8,0.0,13.8,0.2,0.0
80.4,100.0,29.799999999999997,1.4000000000000001,26.400000000000002,1.4000000000000001,80.4,0.0
88.0,100.0,22.2,0.0,21.2,0.0,88.0,0.0
0.0,100.0,51.2,12.4,0.0,12.4,0.0,0.0
22.400000000000002,0.0,51.2,35.6,19.400000000000002,0.0,0.0,0.0
74.4,100.0,36.8,3.0,30.2,3.0,74.4,0.0
0.0,0.0,60.4,42.199999999999996,0.0,0.0,0.0,0.0
0.0,0.2,59.8,38.2,0.0,0.2,0.0,0.0
0.0,46.400000000000006,61.8,38.4,0.0,36.6,0.0,0.0
24.0,0.2,51.4,26.400000000000002,20.4,0.2,0.0,0.0
0.8,7.6,59.199999999999996,34.8,0.8,7.6,0.2,0.2
18.6,0.0,52.400000000000006,36.199999999999996,17.0,0.0,0.0,0.0
4.2,3.8,56.2,33.0,4.0,3.5999999999999996,0.0,0.0
60.0,27.200000000000003,44.800000000000004,10.4,28.199999999999996,5.2,14.399999999999999,0.0
0.8,40.400000000000006,59.4,30.4,0.8,30.0,0.6,0.6
66.4,6.4,39.6,8.6,30.2,0.4,4.6,0.0
